hanzi,tian_level,hsk_level,pinyin,primary_reading,simple_meaning,meaning,meaning_mnemonic,reading_mnemonic,components,in_names
扫,36,3,sǎo;sào,sǎo,,,,,扌 彐,false
选,36,3,xuǎn,xuǎn,,,,,辶 ⺧ 儿,false
马,36,3,mǎ,mǎ,,,,,马,true
骑,36,3,jì;qí,jì,,,,,马 大 一 亅 口,false
后,38,1,hòu,hòu,,,,,⺁ 一 口,true
是,38,1,shì,shì,,,,,日 一 龰,false
米,38,1,mǐ,mǐ,,,,,米,true
都,38,1,dōu;dū,dōu,,,,,耂 日 阝,true
饭,38,1,fàn,fàn,,,,,饣 ⺁ 又,false
教,38,2,jiāo;jiào,jiāo,,,,,耂 子 ⺙,true
楼,38,2,lóu,lóu,,,,,木 米 女,true
定,38,3,dìng,dìng,,,,,宀 一 龰,false
提,38,3,dī;tí,dī,,,,,扌 日 一 龰,false
数,38,3,shǔ;shù;shuò,shǔ,,,,,米 女 ⺙,false
板,38,3,bǎn;pàn,bǎn,,,,,木 ⺁ 又,false
糕,38,3,gāo,gāo,,,,,米 羊 灬,false
者,38,3,zhě,zhě,,,,,耂 日,false
饮,38,3,yǐn;yìn,yǐn,,,,,饣 欠,false
饺,38,3,jiǎo,jiǎo,,,,,饣 亠 八 乂,false
饿,38,3,è,è,,,,,饣 手 戈,false
影,39,1,yǐng,yǐng,,,,,日 亠 口 小 彡,false
忙,39,1,máng,máng,,,,,忄 匸 丶,false
爱,39,1,ài,ài,,,,,爫 冖 𠂇 又,false
菜,39,1,cài,cài,,,,,艹 爫 木,false
起,39,1,qǐ,qǐ,,,,,走 己,false
车,39,1,chē,chē,,,,,车,true
己,39,2,jǐ,jǐ,,,,,己,false
忘,39,2,wàng,wàng,,,,,匸 丶 心,false
望,39,2,wàng,wàng,,,,,匸 丶 月 王,false
记,39,2,jì,jì,,,,,讠 己,false
参,39,3,cān;shēn,cān,,,,,厶 大 彡,false
受,39,3,shòu,shòu,,,,,爫 冖 又,false
轻,39,3,qīng,qīng,,,,,车 龴 工,false
较,39,3,jiào,jiào,,,,,车 亠 八 乂,false
辆,39,3,liàng,liàng,,,,,车 一 从 冂,false
九,40,1,jiǔ,jiǔ,,,,,丿 ㇈,false
哥,40,1,gē,gē,,,,,哥,false
奶,40,1,nǎi,nǎi,,,,,女 ㇎ 丿,false
息,40,1,xī,xī,,,,,自 心,false
文,40,1,wén,wén,,,,,文,true
歌,40,1,gē,gē,,,,,哥 欠,false
热,40,1,rè,rè,,,,,扌 丿 ㇈ 丶 灬,false
狗,40,1,gǒu,gǒu,,,,,犭 勹 口,false
猫,40,1,māo,māo,,,,,犭 艹 田,false
这,40,1,zhè,zhè,,,,,辶 文,false
题,40,1,tí,tí,,,,,日 一 龰 页,true
场,40,2,cháng;chǎng,cháng,,,,,土 ㇎,false
自,40,2,zì,zì,,,,,自,false
咱,40,3,zán;zá,zán,,,,,口 自,false
夏,40,3,xià,xià,,,,,一 自 夂,true
页,40,3,xié;yè,xié,,,,,页,false
须,40,3,xū,xū,,,,,彡 页,false
事,42,1,shì,shì,,,,,十 口 丨 ⺺ 亅,false
包,42,1,bāo,bāo,,,,,勹 巳,true
谁,42,1,shéi,shéi,,,,,讠 隹,false
里,42,1,lǐ,lǐ,,,,,里,true
准,42,2,zhǔn,zhǔn,,,,,冫 隹,false
妻,42,2,qī;qì,qī,,,,,十 ⺺ 女,false
懂,42,2,dǒng,dǒng,,,,,忄 艹 ㇒ 十 里,false
跑,42,2,páo;pǎo,páo,,,,,⻊ 勹 巳,false
理,42,3,lǐ,lǐ,,,,,王 里,false
糖,42,3,táng,táng,,,,,米 广 ⺺ 口,false
蕉,42,3,jiāo;qiáo,jiāo,,,,,艹 隹 灬,false
重,42,3,chóng;zhòng,chóng,,,,,㇒ 十 里,false
难,42,3,nán;nàn,nán,,,,,又 隹,false
饱,42,3,bǎo,bǎo,,,,,饣 勹 巳,false
到,43,1,dào,dào,,,,,至 刂,false
喝,43,1,hē;hè,hē,,,,,口 曰 勹 人 ㇗,false
没,43,1,méi;mò,méi,,,,,氵 殳,false
火,43,1,huǒ,huǒ,,,,,火,true
病,43,1,bìng,bìng,,,,,疒 一 人 冂,false
室,43,2,shì,shì,,,,,宀 至,true
疼,43,2,téng,téng,,,,,疒 夂 ⺀,false
屋,43,3,wū,wū,,,,,尸 至,false
段,43,3,duàn,duàn,,,,,丨 殳,true
渴,43,3,kě,kě,,,,,氵 曰 勹 人 ㇗,false
灯,43,3,dēng,dēng,,,,,火 一 亅,false
炼,43,3,liàn,liàn,,,,,火 乚 一 ㇆ 八,false
烧,43,3,shāo,shāo,,,,,火 一 儿,false
秋,43,3,qiū,qiū,,,,,禾 火,true
锻,43,3,duàn,duàn,,,,,钅 丨 殳,false
号,44,1,háo;hào,háo,,,,,口 一 ㇉,false
